id,department_code,insee_code,zip_code,-HAUTES-ALPES,slug,gps_lat,gps_lng
1739,5,5001,5460,Abriès,abries,44.821920365854,6.9510032317073
1740,5,5003,5470,Aiguilles,aiguilles,44.780105887097,6.8702014516129
1741,5,5004,5260,Ancelle,ancelle,44.624042051282,6.2172873333333
1742,5,5006,5120,L'Argentière-la-Bessée,l argentiere la bessee,44.784035204082,6.4687581632653
1743,5,5007,5350,Arvieux,arvieux,44.764444110429,6.7251893251534
1744,5,5008,5140,Aspremont,aspremont,44.495006511628,5.7171417054264
1745,5,5009,5800,Aspres-lès-Corps,aspres les corps,44.811294186047,5.9977248062015
1746,5,5010,5140,Aspres-sur-Buëch,aspres sur buech,44.556696305221,5.7709744176707
1747,5,5011,5230,Avançon,avancon,44.529693307087,6.1932775590551
1748,5,5012,5200,Baratier,baratier,44.500546898734,6.5098115822785
1749,5,5013,5110,Barcillonnette,barcillonnette,44.434495696203,5.9042406329114
1750,5,5014,5300,Barret-sur-Méouge,barret sur meouge,44.258659945652,5.7326854891304
1751,5,5016,5700,La Bâtie-Montsaléon,la batie montsaleon,44.454881736111,5.7538413888889
1752,5,5017,5230,La Bâtie-Neuve,la batie neuve,44.579735597484,6.2119816981132
1753,5,5018,5000,La Bâtie-Vieille,la batie vieille,44.564270327869,6.1526343442623
1754,5,5019,5140,La Beaume,la beaume,44.54845372973,5.6473451351351
1755,5,5021,5700,Le Bersac,le bersac,44.404633801653,5.7517209917355
1756,5,5022,5190,Bréziers,breziers,44.418143636364,6.2187610454546
1757,5,5023,5100,Briançon,briancon,44.894984834123,6.6440352606635
1758,5,5024,5150,Valdoule,valdoule,44.460855982143,5.5264920982143
1759,5,5025,5500,Buissard,buissard,44.659692098765,6.1469548148148
1760,5,5026,5600,Ceillac,ceillac,44.657026995305,6.8059055399061
1761,5,5027,5100,Cervières,cervieres,44.86042370229,6.7561955725191
1762,5,5028,5400,Chabestan,chabestan,44.479281583333,5.7850100833333
1763,5,5029,5260,Chabottes,chabottes,44.648216618705,6.1684379136691
1764,5,5031,5310,Champcella,champcella,44.719743419689,6.5237192746114
1765,5,5032,5260,Champoléon,champoleon,44.741620544554,6.2709913366337
1766,5,5033,5700,Chanousse,chanousse,44.362932957746,5.6594179577465
1767,5,5035,5400,Châteauneuf-d'Oze,chateauneuf d oze,44.503270733333,5.8975847333333
1768,5,5036,5380,Châteauroux-les-Alpes,chateauroux les alpes,44.637994123223,6.4912793838863
1769,5,5037,5000,Châteauvieux,chateauvieux,44.480994324324,6.0511532432432
1770,5,5038,5350,Château-Ville-Vieille,chateau ville vieille,44.764136455026,6.8017238095238
1771,5,5039,5500,Aubessagne,aubessagne,44.733333,6.016667
1772,5,5039,5800,Aubessagne,aubessagne,44.733333,6.016667
1773,5,5040,5230,Chorges,chorges,44.548415069767,6.288784
1774,5,5044,5200,Crévoux,crevoux,44.53617744186,6.6188405813954
1775,5,5045,5200,Crots,crots,44.486789004739,6.4528990521327
1776,5,5046,5200,Embrun,embrun,44.57799432,6.47878928
1777,5,5047,5300,Éourres,eourres,44.210413709677,5.7306779569892
1778,5,5048,5700,L'Épine,l epine,44.430295683761,5.6118912820513
1779,5,5049,5110,Esparron,esparron,44.456609444444,5.8867596969697
1780,5,5050,5190,Espinasses,espinasses,44.492290625,6.2327876785714
1781,5,5051,5700,Étoile-Saint-Cyrice,etoile saint cyrice,44.320125987654,5.6407077160494
1782,5,5052,5600,Eygliers,eygliers,44.683598622755,6.6518738922156
1783,5,5053,5300,Garde-Colombe,garde colombe,44.35804423221,5.7710438951311
1784,5,5054,5500,La Fare-en-Champsaur,la fare en champsaur,44.66847962963,6.0553654320988
1785,5,5055,5140,La Faurie,la faurie,44.571377662338,5.7408553896104
1786,5,5056,5260,Forest-Saint-Julien,forest saint julien,44.631828828829,6.1403838738739
1787,5,5057,5130,Fouillouse,fouillouse,44.450471417323,5.999478976378
1788,5,5058,5310,Freissinières,freissinieres,44.731740769231,6.4681065567766
1789,5,5059,5000,La Freissinouse,la freissinouse,44.536517054795,6.0084179452055
1790,5,5060,5400,Furmeyer,furmeyer,44.536796494845,5.8815002061856
1791,5,5061,5000,Gap,gap,44.576617445545,6.0607675841584
1792,5,5062,5800,Le Glaizil,le glaizil,44.746458588235,5.9801449411765
1793,5,5063,5320,La Grave,la grave,45.072993651877,6.2843088395904
1794,5,5064,5800,La Chapelle-en-Valgaudémar,la chapelle en valgaudemar,44.808354472574,6.2379065400844
1795,5,5065,5600,Guillestre,guillestre,44.665983044872,6.6852044551282
1796,5,5066,5140,La Haute-Beaume,la haute beaume,44.570403736264,5.6317123076923
1797,5,5068,5130,Jarjayes,jarjayes,44.506611315789,6.1058447368421
1798,5,5070,5300,Laragne-Montéglin,laragne monteglin,44.332985818182,5.8211835151515
1799,5,5071,5110,Lardier-et-Valença,lardier et valenca,44.441797654321,5.9734395061728
1800,5,5072,5500,Laye,laye,44.640651754386,6.0742873684211
1801,5,5073,5300,Lazer,lazer,44.345824417178,5.8471947852761
1802,5,5074,5130,Lettret,lettret,44.484776666667,6.0746211111111
1803,5,5075,5400,Manteyer,manteyer,44.535614857143,5.9605077142857
1804,5,5076,5700,Méreuil,mereuil,44.385925961538,5.7156206730769
1805,5,5077,5350,Molines-en-Queyras,molines en queyras,44.712035055556,6.9030126666667
1806,5,5078,5110,Monêtier-Allemont,monetier allemont,44.394286516854,5.9282335955056
1807,5,5079,5220,Le Monêtier-les-Bains,le monetier les bains,45.014717158672,6.4592037269373
1808,5,5080,5140,Montbrand,montbrand,44.589357861635,5.6670979874214
1809,5,5081,5700,Montclus,montclus,44.41377925,5.6676446666667
1810,5,5082,5600,Mont-Dauphin,mont dauphin,44.669393333333,6.6248222222222
1811,5,5084,5230,Montgardin,montgardin,44.541643962264,6.2322349056604
1812,5,5085,5100,Montgenèvre,montgenevre,44.93363559322,6.7277206214689
1813,5,5086,5150,Montjay,montjay,44.368191836735,5.6191535204082
1814,5,5087,5400,Montmaur,montmaur,44.585523266932,5.8763083665339
1815,5,5089,5700,Montrond,montrond,44.388581186441,5.7474691525424
1816,5,5090,5500,La Motte-en-Champsaur,la motte en champsaur,44.736856419214,6.1075724017467
1817,5,5091,5150,Moydans,moydans,44.408466464646,5.5065650505051
1818,5,5092,5000,Neffes,neffes,44.500575042017,6.0271805042017
1819,5,5093,5100,Névache,nevache,45.047129775561,6.5978488279302
1820,5,5094,5700,Nossage-et-Bénévent,nossage et benevent,44.313500810811,5.7508487837838
1821,5,5095,5500,Le Noyer,le noyer,44.703365517241,6.003218362069
1822,5,5096,5170,Orcières,orcieres,44.683530711111,6.3497315555556
1823,5,5097,5700,Orpierre,orpierre,44.320004694836,5.7006202816901
1824,5,5098,5200,Les Orres,les orres,44.483068644068,6.575588220339
1825,5,5099,5400,Oze,oze,44.501626396396,5.7972989189189
1826,5,5100,5000,Pelleautier,pelleautier,44.51052609589,6.0062446575342
1827,5,5101,5290,Vallouise-Pelvoux,vallouise pelvoux,44.9138562,6.4071141
1828,5,5101,5340,Vallouise-Pelvoux,vallouise pelvoux,44.8666667,6.5
1829,5,5102,5700,La Piarre,la piarre,44.478139365079,5.6457476190476
1830,5,5103,5300,Le Poët,le poet,44.282090657895,5.9075398684211
1831,5,5104,5500,Poligny,poligny,44.686535964912,6.0367784210526
1832,5,5106,5230,Prunières,prunieres,44.538437552448,6.3389218181818
1833,5,5107,5100,Puy-Saint-André,puy saint andre,44.886673271028,6.5730460747664
1834,5,5108,5200,Puy-Saint-Eusèbe,puy saint eusebe,44.563627311828,6.4073155913979
1835,5,5109,5100,Puy-Saint-Pierre,puy saint pierre,44.897828115942,6.6097339130435
1836,5,5110,5290,Puy-Saint-Vincent,puy saint vincent,44.815732580645,6.4607878225806
1837,5,5111,5200,Puy-Sanières,puy sanieres,44.55144640625,6.43674078125
1838,5,5112,5400,Rabou,rabou,44.608385819672,6.0002433606557
1839,5,5113,5000,Rambaud,rambaud,44.549619633028,6.1268714678899
1840,5,5114,5160,Réallon,reallon,44.603598486486,6.3620494594595
1841,5,5115,5190,Remollon,remollon,44.471397826087,6.1589693478261
1842,5,5116,5600,Réotier,reotier,44.683536206897,6.5521904597701
1843,5,5117,5150,Ribeyret,ribeyret,44.412433366337,5.556554950495
1844,5,5118,5300,Val Buëch-Méouge,val buech meouge,44.247484554455,5.821381980198
1845,5,5119,5600,Risoul,risoul,44.623631388889,6.6299238888889
1846,5,5120,5460,Ristolas,ristolas,44.722446308411,7.0064320560748
1847,5,5121,5190,Rochebrune,rochebrune,44.451414868421,6.206644868421
1848,5,5122,5310,La Roche-de-Rame,la roche de rame,44.760713538462,6.6171006153846
1849,5,5123,5400,La Roche-des-Arnauds,la roche des arnauds,44.580687989418,5.9726432275132
1850,5,5124,5000,La Rochette,la rochette,44.588081648352,6.1479011538462
1851,5,5126,5150,Rosans,rosans,44.395864292929,5.4626252525252
1852,5,5127,5190,Rousset,rousset,44.483315631068,6.2602102912621
1853,5,5128,5200,Saint-André-d'Embrun,saint andre d embrun,44.584271813725,6.5669742156863
1854,5,5129,5150,Saint-André-de-Rosans,saint andre de rosans,44.363524327731,5.5233581512605
1855,5,5130,5160,Saint-Apollinaire,saint apollinaire,44.550481559633,6.3603643119266
1856,5,5131,5400,Saint-Auban-d'Oze,saint auban d oze,44.487797902098,5.8488076223776
1857,5,5132,5500,Saint-Bonnet-en-Champsaur,saint bonnet en champsaur,44.701943920455,6.0859972727273
1858,5,5133,5330,Saint-Chaffrey,saint chaffrey,44.93316957265,6.6040927350427
1859,5,5134,5600,Saint-Clément-sur-Durance,saint clement sur durance,44.651478986486,6.5536393243243
1860,5,5135,5700,Sainte-Colombe,sainte colombe,44.291221119403,5.6662160447761
1861,5,5136,5600,Saint-Crépin,saint crepin,44.721718353659,6.6280365853658
1862,5,5139,5250,Dévoluy,devoluy,44.683154317549,5.8832157938719
1863,5,5140,5130,Saint-Étienne-le-Laus,saint etienne le laus,44.508893017241,6.1619621551724
1864,5,5142,5800,Saint-Firmin,saint firmin,44.792885726496,6.0194852991453
1865,5,5144,5800,Saint-Jacques-en-Valgodemard,saint jacques en valgodemard,44.773836043956,6.063684945055
1866,5,5145,5260,Saint-Jean-Saint-Nicolas,saint jean saint nicolas,44.6701530625,6.2244041875
1867,5,5146,5140,Saint-Julien-en-Beauchêne,saint julien en beauchene,44.628468297101,5.7216849275362
1868,5,5147,5500,Saint-Julien-en-Champsaur,saint julien en champsaur,44.667496643836,6.1340678082192
1869,5,5148,5500,Saint-Laurent-du-Cros,saint laurent du cros,44.636528768116,6.109347826087
1870,5,5149,5260,Saint-Léger-les-Mélèzes,saint leger les melezes,44.644933522727,6.2070563636364
1871,5,5151,5120,Saint-Martin-de-Queyrières,saint martin de queyrieres,44.84133989418,6.5782242328042
1872,5,5152,5800,Saint-Maurice-en-Valgodemard,saint maurice en valgodemard,44.798747515152,6.1094652727273
1873,5,5153,5260,Saint-Michel-de-Chaillol,saint michel de chaillol,44.680821572327,6.1676448427673
1874,5,5154,5140,Saint-Pierre-d'Argençon,saint pierre d argencon,44.517344833333,5.6876341666667
1875,5,5155,5300,Saint-Pierre-Avez,saint pierre avez,44.249979468085,5.7647857446809
1876,5,5156,5200,Saint-Sauveur,saint sauveur,44.532602640449,6.5227930898876
1877,5,5157,5350,Saint-Véran,saint veran,44.682199586207,6.8928977241379
1878,5,5158,5400,Le Saix,le saix,44.467915722892,5.8354094578313
1879,5,5159,5300,Saléon,saleon,44.323768823529,5.7716241176471
1880,5,5160,5300,Salérans,salerans,44.244859215686,5.6999135294118
1881,5,5161,5240,La Salle-les-Alpes,la salle les alpes,44.959961496063,6.5754160629921
1882,5,5162,5110,La Saulce,la saulce,44.433852643678,6.0104456321839
1883,5,5163,5160,Le Sauze-du-Lac,le sauze du lac,44.480039574468,6.32333
1884,5,5164,5160,Savines-le-Lac,savines le lac,44.535449353448,6.3893627586207
1885,5,5165,5700,Savournon,savournon,44.424553098592,5.7949924882629
1886,5,5166,5700,Serres,serres,44.416058025478,5.7150061146497
1887,5,5168,5130,Sigoyer,sigoyer,44.477064630872,5.9731840939597
1888,5,5169,5150,Sorbiers,sorbiers,44.359608174603,5.5713212698413
1889,5,5170,5130,Tallard,tallard,44.461505625,6.0466694444444
1890,5,5171,5190,Théus,theus,44.488336,6.1961995294118
1891,5,5172,5700,Trescléoux,trescleoux,44.352367080745,5.7209010559006
1892,5,5173,5300,Upaix,upaix,44.321562429379,5.8852857627119
1893,5,5174,5100,Val-des-Prés,val des pres,44.940801203704,6.6677843518519
1894,5,5176,5130,Valserres,valserres,44.491046060606,6.1382138383838
1895,5,5177,5560,Vars,vars,44.595003881579,6.7126835526316
1896,5,5178,5300,Ventavon,ventavon,44.385107272727,5.8889868686869
1897,5,5179,5400,Veynes,veynes,44.563713071895,5.8233290196078
1898,5,5180,5120,Les Vigneaux,les vigneaux,44.819285131579,6.5424522368421
1899,5,5181,5480,Villar-d'Arêne,villar d arene,44.996567849462,6.3612972043011
1900,5,5182,5800,Villar-Loubière,villar loubiere,44.833618933333,6.1349630666667
1901,5,5183,5100,Villar-Saint-Pancrace,villar saint pancrace,44.840837239264,6.6505657668712
1902,5,5184,5110,Vitrolles,vitrolles,44.434011702128,5.9454227659575
